row_id,timestamp,station_id,wl_t,wl_t_minus_1h,wl_t_minus_3h,wl_t_minus_6h,wl_t_minus_12h,wl_t_minus_24h,imerg_rain_1h,imerg_rain_6h,imerg_rain_24h,sfc_rain_1h,sfc_rain_6h,sfc_rain_24h,radar_reflectivity_mean,radar_reflectivity_p95,radar_reflectivity_ge20_fraction,cat_area,wsarea,mean_elevation,mean_slope,urban_ratio,forest_ratio,stream_order,target_maxrise_6h
1001603_2017030118,2017-03-01 18:00,1001603,1.4,1.4,1.41,1.4,1.4,1.4,0,0,0.198,0,0,0,0,0,0,3.5134,24.1518,912.52,20.3711,2.2483,90.2804,1.7353,0
1001603_2017041100,2017-04-11 0:00,1001603,1.56,1.56,1.56,1.57,1.57,1.58,0,0,0.003,0,0,0,0,0,0,3.5134,24.1518,912.52,20.3711,2.2483,90.2804,1.7353,0
1001603_2017051314,2017-05-13 14:00,1001603,1.43,1.43,1.43,1.43,1.43,1.43,0,0,0.895,0,0,0,0,0,0,3.5134,24.1518,912.52,20.3711,2.2483,90.2804,1.7353,0
1001605_2017040506,2017-04-05 6:00,1001605,0.94,0.94,0.94,0.94,0.92,0.93,0,0,0.01,0,0,0,0,0,0,3.8339,32.8339,887.36,14.5223,7.968,67.1122,1.6579,0
1001605_2017071407,2017-07-14 7:00,1001605,1.12,1.12,1.12,1.12,1.13,1.15,0,0,0,0,0,0,0,0,0,3.8339,32.8339,887.36,14.5223,7.968,67.1122,1.6579,0
1001605_2017071408,2017-07-14 8:00,1001605,1.12,1.12,1.12,1.12,1.13,1.15,0,0,0,0,0,0,0,0,0,3.8339,32.8339,887.36,14.5223,7.968,67.1122,1.6579,0
1001607_2017051314,2017-05-13 14:00,1001607,1.29,1.29,1.29,1.29,1.29,1.29,0,0,0.895,0,0,0,0,0,0,3.5134,24.1518,912.52,20.3711,2.2483,90.2804,1.7353,0.01
1001607_2017051315,2017-05-13 15:00,1001607,1.29,1.29,1.29,1.29,1.29,1.29,0,0,0.551,0,0,0,0,0,0,3.5134,24.1518,912.52,20.3711,2.2483,90.2804,1.7353,0.01
1001607_2017062615,2017-06-26 15:00,1001607,1.19,1.19,1.19,1.18,1.18,1.18,0,0,1.785,0,0,1,0,0,0,3.5134,24.1518,912.52,20.3711,2.2483,90.2804,1.7353,0
1001613_2017030118,2017-03-01 18:00,1001613,1.05,1.05,1.07,1.05,1.04,1.04,0,0,0.198,0,0,0,0,0,0,2.723,62.0958,791.87,21.9371,1.249,92.6589,1.9206,0
1001613_2017041100,2017-04-11 0:00,1001613,1.04,1.04,1.03,1.03,1.02,1.05,0,0,0.003,0,0,0,0,0,0,2.723,62.0958,791.87,21.9371,1.249,92.6589,1.9206,0.01
1001613_2017062615,2017-06-26 15:00,1001613,1.15,1.14,1.14,1.14,1.14,1.15,0,0,1.785,0,0,1,0,0,0,2.723,62.0958,791.87,21.9371,1.249,92.6589,1.9206,0
1001615_2017030118,2017-03-01 18:00,1001615,1.36,1.36,1.37,1.36,1.36,1.36,0,0,0.198,0,0,0,0,0,0,2.723,62.0958,791.87,21.9371,1.249,92.6589,1.9206,0.01
1001615_2017041100,2017-04-11 0:00,1001615,1.51,1.51,1.51,1.52,1.52,1.52,0,0,0.003,0,0,0,0,0,0,2.723,62.0958,791.87,21.9371,1.249,92.6589,1.9206,0.01
1001615_2017051314,2017-05-13 14:00,1001615,1.4,1.41,1.42,1.41,1.4,1.42,0,0,0.895,0,0,0,0,0,0,2.723,62.0958,791.87,21.9371,1.249,92.6589,1.9206,0.01
1001660_2017033102,2017-03-31 2:00,1001660,1.21,1.21,1.21,1.21,1.21,1.21,0,0,0,0,0,0,0,0,0,3.3402,90.0574,615.21,24.6172,2.7524,91.9582,1.9355,0
1001660_2017051314,2017-05-13 14:00,1001660,1.18,1.18,1.18,1.17,1.18,1.18,0,0,1.367,0,0,0,0,0,0,3.3402,90.0574,615.21,24.6172,2.7524,91.9582,1.9355,0
1001660_2017051315,2017-05-13 15:00,1001660,1.18,1.18,1.18,1.18,1.18,1.18,0,0,0.887,0,0,0,0,0,0,3.3402,90.0574,615.21,24.6172,2.7524,91.9582,1.9355,0
1001683_2017051314,2017-05-13 14:00,1001683,0.29,0.29,0.29,0.29,0.29,0.29,0,0,0.189,0,0,0,0,0,0,3.8527,1283.8061,449.4,23.116,2.8664,89.4885,3,0
1001683_2017051315,2017-05-13 15:00,1001683,0.29,0.29,0.29,0.29,0.29,0.29,0,0,0.17,0,0,0,0,0,0,3.8527,1283.8061,449.4,23.116,2.8664,89.4885,3,-0.01
1001683_2017062413,2017-06-24 13:00,1001683,0.19,0.19,0.19,0.19,0.19,0.19,0,0,0,0,0,0,0,0,0,3.8527,1283.8061,449.4,23.116,2.8664,89.4885,3,0
1002640_2017051208,2017-05-12 8:00,1002640,0.22,0.22,0.22,0.22,0.22,0.22,0,0,0.014,0,0,0,0,0,0,3.2373,370.432,517.41,19.9885,3.1479,84.0565,2.6087,0
1002640_2017051209,2017-05-12 9:00,1002640,0.22,0.22,0.22,0.22,0.22,0.22,0,0,0.014,0,0,0,0,0,0,3.2373,370.432,517.41,19.9885,3.1479,84.0565,2.6087,0
1002640_2017051210,2017-05-12 10:00,1002640,0.22,0.22,0.22,0.22,0.22,0.22,0,0,0.014,0,0,0,0,0,0,3.2373,370.432,517.41,19.9885,3.1479,84.0565,2.6087,0
1002695_2017051314,2017-05-13 14:00,1002695,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0.089,0,0,0,0,0,0,3.3268,615.746,297.06,15.4808,6.5475,81.425,2.5,0.01
1002695_2017062413,2017-06-24 13:00,1002695,0.15,0.15,0.15,0.15,0.15,0.16,0,0,0,0,0,0,0,0,0,3.3268,615.746,297.06,15.4808,6.5475,81.425,2.5,0
1002695_2017062414,2017-06-24 14:00,1002695,0.15,0.15,0.15,0.15,0.15,0.16,0,0,0,0,0,0,0,0,0,3.3268,615.746,297.06,15.4808,6.5475,81.425,2.5,0
1002698_2017051314,2017-05-13 14:00,1002698,0.63,0.63,0.63,0.63,0.63,0.63,0,0,0.089,0,0,0,0,0,0,3.3268,615.746,297.06,15.4808,6.5475,81.425,2.5,0
1002698_2017062413,2017-06-24 13:00,1002698,0.53,0.53,0.54,0.54,0.54,0.54,0,0,0,0,0,0,0,0,0,3.3268,615.746,297.06,15.4808,6.5475,81.425,2.5,0
1002698_2017062414,2017-06-24 14:00,1002698,0.53,0.53,0.53,0.54,0.54,0.54,0,0,0,0,0,0,0,0,0,3.3268,615.746,297.06,15.4808,6.5475,81.425,2.5,0
1003630_2017051314,2017-05-13 14:00,1003630,1.38,1.38,1.38,1.38,1.38,1.38,0,0,1.039,0,0,0,0,0,0,3.4582,934.229,501.16,23.193,2.9555,88.8847,2.2703,0
1003630_2017051315,2017-05-13 15:00,1003630,1.38,1.38,1.38,1.38,1.38,1.38,0,0,0.745,0,0,0,0,0,0,3.4582,934.229,501.16,23.193,2.9555,88.8847,2.2703,0
1003630_2017062413,2017-06-24 13:00,1003630,1.08,1.08,1.08,1.08,1.08,1.08,0,0,0.005,0,0,0,0,0,0,3.4582,934.229,501.16,23.193,2.9555,88.8847,2.2703,0
1003642_2017062616,2017-06-26 16:00,1003642,0.95,0.96,0.96,0.96,0.96,0.95,0,0,6.729,0,0,10.5,0,0,0,3.3136,2015.0137,423.89,20.6651,1.3041,86,2.8929,0.01
1003642_2017070615,2017-07-06 15:00,1003642,2.72,2.77,2.85,2.9,3.2,3.86,0,0,0,0,0,0,0,0,0,3.3136,2015.0137,423.89,20.6651,1.3041,86,2.8929,0
1003642_2017071409,2017-07-14 9:00,1003642,2.36,2.39,2.42,2.48,2.6,2.91,0,0,0,0,0,0,0,0,0,3.3136,2015.0137,423.89,20.6651,1.3041,86,2.8929,-0.01
